index,message,label,restored_link
27,[27] [국제발신]??????관 ??????급???010-6843-2213 ?????후?????? ????????,0,
28,[28] [국제발신]        o                          010-5624-3216,0,
29,[29] [Web발신]연속 [2]등!황금번호 드려요추천번호받기↓https://iii.ad/6b9b49,1,https://iii.ad/6b9b49
30,[30] [Web발신]연속 [2]등!황금번호 드려요추천번호받기↓https://iii.ad/8f019c,1,https://iii.ad/8f019c
31,[31] [Web발신]ㅈ ㅏ금 승인 나셔서 문자드렸어요https://open.kakao.com/o/s08nqZjh클릭하시고 문의주세요,1,https://open.kakao.com/o/s08nqZjh
32,[32] [국제발신]?주안앞역인근*주안동방*주간100야간20진행중 입니다!커피 한 잔 하러 오세요010-4647-1513,0,
33,[33] ??번화가??시그니엘 쿱출시기념?올데이30+시그150+시그3100+시그5횟수제한X 행복번화가.?ㅇ?,1,행복번화가.com
34,[34] [국외발신]？？번화가？？시그니엘 쿱출시기념？올데이30+시그150+시그3100+시그5횟수제한X 행복번화가.？？ㅇ？？,1,행복번화가.com
35,[35] [국제발신]         부                               ~     q6c.us/qxh,1,q6c.us/qxh
36,[36] [국외발신]？？？？？ 접수 확인 후 연락드립니다01068347627 ？？？？？？？？？ ？？？？？？？？ ？？？？？？ ？？？？？？주세요,0,
37,[37] [국외발신]kplay？귀혜？5+？？ 10+？？프로그레시브총10억룔렛Max50？만t.ly/ItvUA,1,t.ly/ItvUA
38,[38] [국제발신]kplay?ㅁ膏壎?5+? 10+?프로그레시브총10억룔렛Max50?만t.ly/ItvUA,1,t.ly/ItvUA
39,[39] 매화금일 일정10:40　출발히메카사카와사가남은 포인트O경주 多보안강화방문??666.??,1,666.com
40,[40] [국제발신]  번화가  시그니엘 쿱출시기념 올데이30+시그150+시그3100+시그5횟수제한X 행복번화가. ㅇ,1,행복번화가.com
41,[41] [국제발신]kplay？ㅁ膏壎？5+  10+ 프로그레시브총10억룔렛Max50 만t.ly/ItvUA,1,t.ly/ItvUA
42,"[42] [Web발신]2025년 03월 06일 안녕하세요 회원님^^
■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다

※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여
보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.

※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,
회원님들께 진심으로 감사인사드립니다.

※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH

※ 3월 7일까지 확인또는 처리 되지 않을시
모두 소 _ 멸 처리될 예정이십니다

※당사에 시일내에 빠른 출금 처리 바랍니다.※

■회원님께서 보유하고 계신 Oi 더 ㄹI 움■
→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움
■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW

■ Ka톡 실시간 상담 바로가기 ■

https://vo.la/HWHMmJ

※ 항상 당사를 아껴주시는 모든분들께 감사드리며,
좋은 하루 보내시기 바라겠습니다

광고거부 01585490132
MMS/안녕하세요""",1,https://vo.la/HWHMmJ
43,"[43] [Web발신]2025년 03월 06일 안녕하세요 회원님^^■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,회원님들께 진심으로 감사인사드립니다.※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH※ 3월 7일까지 확인또는 처리 되지 않을시모두 소 _ 멸 처리될 예정이십니다※당사에 시일내에 빠른 출금 처리 바랍니다.※■회원님께서 보유하고 계신 Oi 더 ㄹI 움■→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW■ Ka톡 실시간 상담 바로가기 ■https://vo.la/HWHMmJ※ 항상 당사를 아껴주시는 모든분들께 감사드리며,좋은 하루 보내시기 바라겠습니다광고거부 01585490132

MMS/안녕하세요""",1,https://vo.la/HWHMmJ
44,"[44] MMS 스팸신고[Web발신]2025년 03월 06일 안녕하세요 회원님^^■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,회원님들께 진심으로 감사인사드립니다.※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH※ 3월 7일까지 확인또는 처리 되지 않을시모두 소 _ 멸 처리될 예정이십니다※당사에 시일내에 빠른 출금 처리 바랍니다.※■회원님께서 보유하고 계신 Oi 더 ㄹI 움■→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW■ Ka톡 실시간 상담 바로가기 ■https://vo.la/HWHMmJ※ 항상 당사를 아껴주시는 모든분들께 감사드리며,좋은 하루 보내시기 바라겠습니다광고거부 01585490132
MMS/안녕하세요""",1,https://vo.la/HWHMmJ
45,[45] [Web발신]설문지 작성만 해도커피+상품권추 첨을 통한준비한혜택받아가세요혜택참여지.enn.kr,1,지.enn.kr
46,"[46] [국제발신]유) 한/일 경마+경륜+경정레) S급 고화질 중계 영상이) 빠른 입,출금스) 간편구매ra-32.com",1,ra-32.com
47,"[47] [Web발신]안녕하세요 F I Y token 거,래,소 「플 라 이 Token」에서 회원님의 자_산 보 호를 위해 안내드립니다.■2 5년 0 3월 0 6일 (목) ■※ 소 _ 멸 일자에 다가온 자_산_보존을 위하여 안내드립니다.※장기간동안 접속 또는 이력이 없는 휴먼계정으로 가지고있는 B _ T_ C """"0 3월 1 0일"""" 없어지게 될 예정입니다.※ 소 _ 멸 일정 안내 1 B _ T_ C※소중한 자_산을 빠른시일이내 찾아가시길 바랍니다.☜ 곧 사라질 B _ T_ C ☞→ 보유중인 : 1 B _ T_ C→ 1 B _ T_ C지금 KRW : 135,700,000원■ 카 톡 실시간 상담 바로가기 ■http://pf.kakao.com/_uxbebn■복구 안내 바로가기 텔 레 , 카 톡 바로가기https://t.me/sinsk3위에 링크를 눌러 빠르게 상담을 받으세요당사 서비스 종료 기간이 얼마 남지 않았습니다. 빠르게 상담을 받으시고 B _ T_ C 를 찾아가시길 바랍니다.이용 및 사용해주시는 회원님들께 진심으로 감사드리며 오늘 하루도 좋은 하루 보내시길 바라겠습니다광고수신거부 01585490122

MMS/안녕하세요""",1,http://pf.kakao.com/_uxbebn https://t.me/sinsk3
48,"[48] [Web발신]2025년 03월 06일 안녕하세요 회원님^^
■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다

※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여
보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.

※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,
회원님들께 진심으로 감사인사드립니다.

※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH

※ 3월 7일까지 확인또는 처리 되지 않을시
모두 소 _ 멸 처리될 예정이십니다

※당사에 시일내에 빠른 출금 처리 바랍니다.※

■회원님께서 보유하고 계신 Oi 더 ㄹI 움■
→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움
■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW

■ Ka톡 실시간 상담 바로가기 ■

http://pf.kakao.com/_xexnxobn

※ 항상 당사를 아껴주시는 모든분들께 감사드리며,
좋은 하루 보내시기 바라겠습니다

광고거부 01585490132
MMS/안녕하세요""",1,http://pf.kakao.com/_xexnxobn
49,"[49] [Web발신]2025년 03월 06일 안녕하세요 회원님^^
■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다

※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여
보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.

※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,
회원님들께 진심으로 감사인사드립니다.

※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH

※ 3월 7일까지 확인또는 처리 되지 않을시
모두 소 _ 멸 처리될 예정이십니다

※당사에 시일내에 빠른 출금 처리 바랍니다.※

■회원님께서 보유하고 계신 Oi 더 ㄹI 움■
→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움
■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW

■ Ka톡 실시간 상담 바로가기 ■

https://vo.la/dOhqAs

※ 항상 당사를 아껴주시는 모든분들께 감사드리며,
좋은 하루 보내시기 바라겠습니다

광고거부 01585490132
MMS/안녕하세요""",1,https://vo.la/dOhqAs
50,"[50] [국외발신]유) 한/일 경마+경륜+경정레) S급 고화질 중계 영상이) 빠른 입,출금스) 간편구매ra-32.com",1,ra-32.com
51,"[51] MMS 스팸신고[Web발신]2025년 03월 06일 안녕하세요 회원님^^■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,회원님들께 진심으로 감사인사드립니다.※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH※ 3월 7일까지 확인또는 처리 되지 않을시모두 소 _ 멸 처리될 예정이십니다※당사에 시일내에 빠른 출금 처리 바랍니다.※■회원님께서 보유하고 계신 Oi 더 ㄹI 움■→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW■ Ka톡 실시간 상담 바로가기 ■http://pf.kakao.com/_xexnxobn※ 항상 당사를 아껴주시는 모든분들께 감사드리며,좋은 하루 보내시기 바라겠습니다광고거부 01585490132
MMS/안녕하세요""",1,http://pf.kakao.com/_xexnxobn
52,"[52] [Web발신]2025년 03월 06일 안녕하세요 회원님^^
■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다

※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여
보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.

※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,
회원님들께 진심으로 감사인사드립니다.

※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH

※ 3월 7일까지 확인또는 처리 되지 않을시
모두 소 _ 멸 처리될 예정이십니다

※당사에 시일내에 빠른 출금 처리 바랍니다.※

■회원님께서 보유하고 계신 Oi 더 ㄹI 움■
→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움
■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW

■ Ka톡 실시간 상담 바로가기 ■

http://pf.kakao.com/_yqxfbn

※ 항상 당사를 아껴주시는 모든분들께 감사드리며,
좋은 하루 보내시기 바라겠습니다

광고거부 01585490132
MMS/안녕하세요""",1,http://pf.kakao.com/_yqxfbn
53,[53] [Web발신]설.문.지 결과 안내ⅤⅠΡ 10개 번호{현}{금}1만원▼경품받기▼https://t.ly/tFrDA,1,https://t.ly/tFrDA
54,"[54] MMS 스팸신고[Web발신]2025년 03월 06일 안녕하세요 회원님^^■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,회원님들께 진심으로 감사인사드립니다.※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH※ 3월 7일까지 확인또는 처리 되지 않을시모두 소 _ 멸 처리될 예정이십니다※당사에 시일내에 빠른 출금 처리 바랍니다.※■회원님께서 보유하고 계신 Oi 더 ㄹI 움■→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW■ Ka톡 실시간 상담 바로가기 ■https://vo.la/dOhqAs※ 항상 당사를 아껴주시는 모든분들께 감사드리며,좋은 하루 보내시기 바라겠습니다광고거부 01585490132
MMS/안녕하세요""",1,https://vo.la/dOhqAs
55,[55] [국제발신]                           ★             44275695,0,
56,[56] [국제발신]       /     /비     지!간       100%   /      /      shj700,0,
57,[57] AVEN?s귀회원5+??킨10+핏쟈??0.8%프로ュ레んi브잭?이???l1O억상금?miniurl.com/ch1rb8fe,1,miniurl.com/ch1rb8fe
58,[58] [Web발신]오늘 연락 주셔야행운의 6자리 적중 번호무상으로 드리는 중 !goo.su/g0jWCT,1,goo.su/g0jWCT
59,"[59] MMS 스팸신고[Web발신]2025년 03월 06일 안녕하세요 회원님^^■긴급안내■보유중인 Oi 더 ㄹI 움 소 _ 멸 관련하여 일정표 안내드립니다※ 현재 당사 장기/미접속 상태의 휴면계정으로 인하여보유중인 Oi 더 ㄹI 움 소 _ 멸 관련 안내드립니다.※ 안내드리기 앞서 저희 당사를 이용해주시고.아껴주시는 고객 ,회원님들께 진심으로 감사인사드립니다.※ 회원님께서 당사에 보유하고 있는 Oi 더 ㄹI 움 (40.00)ㄱH※ 3월 7일까지 확인또는 처리 되지 않을시모두 소 _ 멸 처리될 예정이십니다※당사에 시일내에 빠른 출금 처리 바랍니다.※■회원님께서 보유하고 계신 Oi 더 ㄹI 움■→ 2025년 3월 6일날 기준으로 → 가지고계신 : 35 Oi 더 ㄹI 움■실시간 가격■ → Oi 더 리 움= 3,340,000 KRW■ Ka톡 실시간 상담 바로가기 ■http://pf.kakao.com/_yqxfbn※ 항상 당사를 아껴주시는 모든분들께 감사드리며,좋은 하루 보내시기 바라겠습니다광고거부 01585490132
MMS/안녕하세요""",1,http://pf.kakao.com/_yqxfbn
60,[60] [국제발신]초　원　馬금일경주10:40 시작k　k　8　8　8 . c　0☎3787.o513,1,kk888.com
61,[61] [국제발신]초　원　馬금일경주10:40 시작aa　8　9　2 . c　c☎3787.o513,1,aa892.cc
62,[62] [국제발신]24  /   /   /   /                 -     o    : lq29,0,
63,[63] [국제발신]AVEN？s귀회원5+？？킨10+핏쟈？？0.8%프로ュ레んi브잭？이？？？l1O억상금 miniurl.com/ch1rb8fe,1,miniurl.com/ch1rb8fe
64,[64] [국제발신]초　원　馬금일경주10:40 시작s　s　1　8 . c　0☎3787.o513,1,ss18.com
65,[65] [Web발신]II62회차골드회원혜택6개월무료카카오채널▼https://bit.ly/hwhw55,1,https://bit.ly/hwhw55
66,[66] [국외발신]초　원　馬금일경주10:40 시작k　k　8　8　8 . c　0☎3787.o513,1,kk888.com
67,[67] [Web발신]오늘까지 연락주시면내일 행운의 6자리적중 번호 전부 무상 제공a.to/25IHMAF,1,a.to/25IHMAF
68,[68] [국제발신]                       /  /                   ↓ 81077438,0,
69,[69] [국제발신]        o                 010-2319-9749,0,
70,[70] [국제발신]       low11,0,
71,[71] [Web발신]1162회차황금번호제공3개월 무료카카오채널▼https://bit.ly/hwhw55,1,https://bit.ly/hwhw55
72,[72] [국제발신]???리??!????그?????드드???????성?????????????????일?????q6c.us/iu5,1,q6c.us/iu5
73,[73] [국제발신]                 /      /      O     /      모       !       5554,0,
74,"[74] [국제발신]                   ,        폭할   Kⓞ.fm/iQQ   자의      자만",1,K0.fm/iQQ
75,"[75] [국외발신]？？？？？？？？？？？？？？？？？？？？？,？？？？？？？？폭할？？？Kⓞ.fm/iQQ？？？자의？？？？？？？자만？？？？？",1,K0.fm/iQQ
76,[76] [국제발신]   리  !    그     드드       성                 일     q6c.us/iu5,1,q6c.us/iu5
77,[77] [Web발신]II62회차골드등급해택1O번호를6개월무료카카오채널▼https://bit.ly/hw0032,1,https://bit.ly/hw0032
78,[78] [국제발신] 소        ! 1 ~1 0        자                   1 77368648,0,
79,[79] [Web발신]L/0/T/T/0지금이 찬스!VVIP 무료 번호지금 바로 확인↓https://2cm.es/UZWP,1,https://2cm.es/UZWP
80,[80] [국제발신]유) 한/일 경마+경륜+경정레) S급 고화질 중계 영상이) 5G급 빠른 일처리스) 간편구매ra-32.com,1,ra-32.com
81,[81] [국외발신]빠름 디비 여플 신규 ？달 무료 빠른상담 지인 이볜트 텔ㄹH fast114,0,
82,[82] [국제발신]매화금일 일정10:40　출발히메카사카와사가남은 포인트O경주 多보안강화방문  666.,1,666.com
83,[83] [Web발신]L/0/T/T/0지금이 찬스!VVIP 무료 번호지금 바로 확인▼https://2cm.es/SkMd,1,https://2cm.es/SkMd
84,[84] [Web발신]L/0/T/T/0지금이 찬스!VVIP 무료 번호지금 바로 확인▼https://2cm.es/V039,1,https://2cm.es/V039
85,[85] [국제발신]안녕하세요 FACT입니다비밀번호 찾기 문의 주시면 포인 지급예정입니다팩트1.cOm,1,팩트1.cOm
86,[86] [국제발신]             대        !                 !q6c.us/lk9▲     ▲,1,q6c.us/lk9
87,[87] [Web발신]〈로〉〈또〉대박 숫자 10개구매 지원해드려요!▼설문참여하기▼https://zxcv.be/en4udtx,1,https://zxcv.be/en4udtx
88,[88] 〈로〉〈또〉대박 숫자 10개구매 지원해드려요!▼설문참여하기▼https://zxcv.be/en4udtx,1,https://zxcv.be/en4udtx
89,[89] [Web발신]L/0/T/T/0지금이 찬스!VVIP 무료 번호지금 바로 확인▼https://2cm.es/SkNl,1,https://2cm.es/SkNl
90,[90] L/0/T/T/0지금이 찬스!VVIP 무료 번호지금 바로 확인▼https://2cm.es/SkMd,1,https://2cm.es/SkMd
91,[91] [국제발신]30+20(4시까지)오송 포세이돈손님많은집24시은부장010-2224-9811,0,
92,[92] [국제발신]                        !  ~                      paq57,0,
93,[93] [Web발신]I등 예상 골드번호 확인zxcv.be/klvivx7,1,zxcv.be/klvivx7
94,[94] [국외발신]30+20(4시까지)오송 포세이돈손님많은집24시은부장010-2224-9811,0,
95,[95] [Web발신]02 17 18 27 28 451162회차 열개번호합무료받기↓↓https://vo.la/jqOpaM,1,https://vo.la/jqOpaM
96,[96] [국제발신]      대                ok                   !,0,
97,[97] [국제발신]맥/스/대/부연락주세요^^tt9933,0,
98,[98] [국제발신]  ２              10~           28492236,0,
99,"[99] [Web발신]1161회차40,858,302원1162회차열개번호합무료받기↓↓https://vo.la/eoRQTu",1,https://vo.la/eoRQTu
100,"[100] 1161회차40,858,302원1162회차열개번호합무료받기↓↓https://vo.la/eoRQTu",1,https://vo.la/eoRQTu
101,[101] [Web발신]I등 적중 골드번호 확인zxcv.be/klvivx7,1,zxcv.be/klvivx7
102,[102] [Web발신]지금 연락주세요골드 적중 번호6자리 6월까지iii.ad/2f05ca무상 제공해드립니다,1,iii.ad/2f05ca
103,[103] ??비타벳???갸입?1???5콩+3??+배민3???전.종.목 롤.링100%?규제?단폴OK텔>e0579 톡>e3457,0,
104,[104] [Web발신]I등 적중 예상번호 확인zxcv.be/klvivx7,1,zxcv.be/klvivx7
105,"[105] [Web발신]좋은 소식으로 기쁨을 나눕니다!두배, 세배로 웃음이 활짝 필수있는 소식안내드립니다!내용받은 금일만 참가가능!3⊙,⊙⊙⊙충전시 두배, 세배이상이 되는 기적![ 3⊙,⊙⊙⊙ 충전 후 최대 I⊙⊙.⊙⊙⊙ 획득]아래 Sna.ke-CS센터로 바로 ㄱㄱ씽~[Sna.keCS센터]https://goo.su/Sdko[Sn.ake] 채널https://iii.im/SlVA[Snak.e들어오시려면]뱀으로시작.com[Sn.ake] 영상모음https://buly.kr/CoFyyY

MMS/null""",1,뱀으로시작.com https://goo.su/Sdko https://iii.im/SlVA https://buly.kr/CoFyyY
106,[106] [Web발신]lot.to순금1돈프로모션https://vo.la/TkdCcnAI빅데이터로 나온 무료넘버무료거부01585490148,1,https://vo.la/TkdCcn
107,"[107] [Web발신]안녕하세요!맥시멈 최대 I5⊙,⊙⊙⊙ 한정! 아직 입장 안 하신 분들, 얼른 오세요!여러분, 드디어 찾아왔습니다! 저희가 새롭게 준비한 엄청난 혜택, 바로 지금 시작합니다![스네이크]와 [피지컬]이 드디어 통합되어 더 풍성하고 다양한 서비스를 여러분께 제공하게 되었습니다!그런데 잠깐!현재 [피지컬]을 통해 발생한 피해는 보상 불가라는 점, 유의해 주세요!.이젠걱정 마세요!저희 [스네이크]에서는 검증된 시스템과 깔끔한 UI로 업그레이드된 색다른 경험을 즐기실 수 있습니다!누구나 최대 I5⊙,⊙⊙⊙ 기회!? 이 기회를 놓치지 마세요!여기입니다-> 뱀으로시작.com  로그인 방법 (꼭 지켜주세요!)아이디: 기존ID비밀번호: [0000]미사용 머니: 5⊙,⊙⊙⊙II. 스네이크 안내[스네이크]에 로그인만 하면, 곧바로 에메랄드 등급!* VIP 서비스 기본! 지금 이 순간부터 진정한 명품 서비스의 진수를 만끽하세요!* 앞으로[피지컬]에서 발생한 일에대해 저희는 따로 책임을지지 않으니 이점 숙지부탁드립니다.

MMS/null""",1,뱀으로시작.com
108,[108] ??비타벳???갸입?1???5콩+3??+배민3???전.종.목 롤.링100%?규제?단폴OK?>h2558?b>h2553,0,
109,[109] [Web발신]연락드립니다.골드 적중 번호무상 제공 중 !http://iii.ad/5fa296,1,http://iii.ad/5fa296
110,[110] [국제발신]좋은거있어요커피한잔하시러정☎3951-7745,0,
111,[111] [국제발신]                          010ㅡ8187ㅡ6727           24,0,
112,"[112] MMS 스팸신고[Web발신]3월 시작을 꼭 설문 참여해서 경품 받아가세요!!매주 꿀같은 혜~택 기다리고 있습니다한주 한주 놓치기 아쉬운 경˘품 및 혜˘택 지˘급해드리니자동이 아닌 수동의 시대로 한발 한발 앞서갑니다!설문만 참여하셔도 매주 대박 번호 전달 해드립니다 !지금보다 더 여유있는 삶이 되도록 약속 드리니,시간 내셔서 설문 작성해 주시고 꼭 당첨혜택 받아가세요!!https://zxcv.be/fmaw90x
MMS/안녕하세요~!!@@""",1,https://zxcv.be/fmaw90x
113,"[113] MMS 스팸신고3월 시작을 꼭 설문 참여해서 경품 받아가세요!!매주 꿀같은 혜~택 기다리고 있습니다한주 한주 놓치기 아쉬운 경˘품 및 혜˘택 지˘급해드리니자동이 아닌 수동의 시대로 한발 한발 앞서갑니다!설문만 참여하셔도 매주 대박 번호 전달 해드립니다 !지금보다 더 여유있는 삶이 되도록 약속 드리니,시간 내셔서 설문 작성해 주시고 꼭 당첨혜택 받아가세요!!https://zxcv.be/fmaw90x
MMS/안녕하세요~!!@@""",1,https://zxcv.be/fmaw90x
114,"[114] [Web발신]3월 시작을 꼭 설문 참여해서 경품 받아가세요!!매주 꿀같은 혜~택 기다리고 있습니다한주 한주 놓치기 아쉬운 경˘품 및 혜˘택 지˘급해드리니자동이 아닌 수동의 시대로 한발 한발 앞서갑니다!설문만 참여하셔도 매주 대박 번호 전달 해드립니다 !지금보다 더 여유있는 삶이 되도록 약속 드리니,시간 내셔서 설문 작성해 주시고 꼭 당첨혜택 받아가세요!!https://zxcv.be/fmaw90x

MMS/안녕하세요~!!@@""",1,https://zxcv.be/fmaw90x
115,"[115] ??VITA??스&카&미1??신규식사비>1??2??5콩=>3?쳤?+배민3??3??NO규.제/롤100%?,?b=>ki5599",0,
116,[116] [Web발신]골드 적중 번호그냥 보내드립니다어서 연락주세요iri.my/dB4,1,iri.my/dB4
117,"[117] [Web발신]1161회차40,858,302원1162회차열개번호합무료받기↓↓https://vo.la/bvXnCq",1,https://vo.la/bvXnCq
118,"[118] [Web발신]１１6 2회차골드등급(1),(2) 확실한 번호 제공이번 주 지켜보세요↓↓http://t.ly/seojin_8",1,http://t.ly/seojin_8
119,[119] [Web발신]10개  매일 받기13.36.40.45.35.25.빅.데.이.터 분.석[이은희]https://네잎클로버.enn.kr,1,https://네잎클로버.enn.kr
120,"[120] [Web발신]저번주1161회차40,858,302원1162회차열개번호합무료받기↓↓https://vo.la/IzQobk",1,https://vo.la/IzQobk
121,[121] [Web발신]1162회 1등 번호 확인zxcv.be/klvivx7,1,zxcv.be/klvivx7
122,[122] [Web발신]연락드립니다.오늘 1162차 골드 번호무상 보내드리고 있습니다iii.im/7MLS,1,iii.im/7MLS
123,[123] [Web발신]1162차 1등 번호 확인zxcv.be/klvivx7,1,zxcv.be/klvivx7
124,[124] ??비타벳?가입?만원?5콩?8??+GS/배민3?? 10???15??+GS/배민4??TEL> f c 4 8 6 0,0,
